Data Source: Instituto Nacional de Estadística http://www.ine.es/inebmenu/mnu_clasifica.htm;;;;;
Coordenadas en formato wsg84, en decimal. Compatible con Google Maps.;;;;;
Author: Emilio Rodríguez. http://www.emiliort.com/mysql/municipios-espana-coordenadas/;;;;;
;;;;;
name;province;state;latitude;longitude;Google Maps URL
Abla;Almería;Andalucía;37.1411446;-2.7801036;http://maps.google.es/maps?z=14&ll=37.1411446,-2.7801036
Abrucena;Almería;Andalucía;37.1330481;-2.7970982;http://maps.google.es/maps?z=14&ll=37.1330481,-2.7970982
Adra;Almería;Andalucía;36.7480711;-3.0225224;http://maps.google.es/maps?z=14&ll=36.7480711,-3.0225224
Albánchez;Almería;Andalucía;37.2871024;-2.1811632;http://maps.google.es/maps?z=14&ll=37.2871024,-2.1811632
Alboloduy;Almería;Andalucía;37.0331869;-2.6217497;http://maps.google.es/maps?z=14&ll=37.0331869,-2.6217497
Albox;Almería;Andalucía;37.3897879;-2.147483;http://maps.google.es/maps?z=14&ll=37.3897879,-2.147483
Alcolea;Almería;Andalucía;36.9744883;-2.9610382;http://maps.google.es/maps?z=14&ll=36.9744883,-2.9610382
Alcóntar;Almería;Andalucía;37.3358524;-2.5969435;http://maps.google.es/maps?z=14&ll=37.3358524,-2.5969435
Alcudia de Monteagud;Almería;Andalucía;37.2359862;-2.2661735;http://maps.google.es/maps?z=14&ll=37.2359862,-2.2661735
Alhabia;Almería;Andalucía;36.9893054;-2.587667;http://maps.google.es/maps?z=14&ll=36.9893054,-2.587667
Alhama de Almería;Almería;Andalucía;36.957424;-2.5700746;http://maps.google.es/maps?z=14&ll=36.957424,-2.5700746
Alicún;Almería;Andalucía;36.9662998;-2.6019941;http://maps.google.es/maps?z=14&ll=36.9662998,-2.6019941
Almería;Almería;Andalucía;36.8401638;-2.4679217;http://maps.google.es/maps?z=14&ll=36.8401638,-2.4679217
Almócita;Almería;Andalucía;37.0023578;-2.7900709;http://maps.google.es/maps?z=14&ll=37.0023578,-2.7900709
Alsodux;Almería;Andalucía;37.0019951;-2.5945791;http://maps.google.es/maps?z=14&ll=37.0019951,-2.5945791
Antas;Almería;Andalucía;37.2451615;-1.9175428;http://maps.google.es/maps?z=14&ll=37.2451615,-1.9175428
Arboleas;Almería;Andalucía;37.3502469;-2.0748669;http://maps.google.es/maps?z=14&ll=37.3502469,-2.0748669
Armuña de Almanzora;Almería;Andalucía;37.34969;-2.4113959;http://maps.google.es/maps?z=14&ll=37.34969,-2.4113959
Bacares;Almería;Andalucía;37.2608284;-2.4547612;http://maps.google.es/maps?z=14&ll=37.2608284,-2.4547612
Bayárcal;Almería;Andalucía;37.0311629;-2.9964688;http://maps.google.es/maps?z=14&ll=37.0311629,-2.9964688
Bayarque;Almería;Andalucía;37.3309071;-2.4356596;http://maps.google.es/maps?z=14&ll=37.3309071,-2.4356596
Bédar;Almería;Andalucía;37.1896398;-1.9818983;http://maps.google.es/maps?z=14&ll=37.1896398,-1.9818983
Beires;Almería;Andalucía;37.0120025;-2.7909276;http://maps.google.es/maps?z=14&ll=37.0120025,-2.7909276
Benahadux;Almería;Andalucía;36.9258636;-2.4556826;http://maps.google.es/maps?z=14&ll=36.9258636,-2.4556826
Benitagla;Almería;Andalucía;37.2312432;-2.2391067;http://maps.google.es/maps?z=14&ll=37.2312432,-2.2391067
